Категория,Уровень (L1/L2/L3),Приоритет,Метрика,Важность,Как улучшать,Ловушки,Частота,Формула / Определение,Числитель,Знаменатель,Owner,Bench: Tier-1 (EU/AU),Bench: LatAm/CIS,Bench: India/SEA,Alert (Red),Alert (Yellow),Источник данных,Зависимости,Разрезы (теги)
Active User Base,L2,Should,Stickiness,"DAU/MAU ratio. Показывает, какая доля месячной базы приходит ежедневно. Proxy для habit strength (сила привычки условно)","1) Daily rewards и login bonuses
2) Лайв-события: стримы, турниры, daily джекпоты
3) Push-уведомления с персонализированным контентом
4) Streak mechanics: 'не прерывай серию дней' (берем со всем фритуплей игрушек)","1) Stickiness (или липоксть, привычка) в iGaming ниже чем social apps: 15-25% = норма для casino, 10-15% для sports (event-driven)
2) Слишком высокая stickiness (>40%) может быть RG-сигналом: обязательно cross-check с responsible gambling metrics
3) Stickiness искажается дейли логин бонусами: игрок может логиниться для бонуса, не играя",Weekly,DAU / MAU × 100%. Индикатор привычки,DAU,MAU,Product,18–28%,15–25%,12–20%,<10%,<15%,BI,DAU / WAU / MAU,"продукт, сегмент"
Active User Base,L2,Should,Active Depositors,Игроки с хотя бы 1 депозитом за период. База монетизации и основа для ARPPU,"1) CRM для lapsed depositors (которые перестали вносить депозит): персональный офер через 7/14/30 дней неактивности. Заезженная механика, но работает
2) Простое пополнение: сохранённые методы, 1 клик, быстрые суммы
3) Авто депозит напоминания при низком балансе (opt-in)
4) Balance top-up предложения (заготовки) в ключевых моментах (перед крупным матчем)","1) Те, кто активно депают, не равно активный игрок: игрок может положить и не играть
2) Определение периода (daily / weekly / monthly depositor) кратно меняет число
3) Микро-депозитчики (~$1-3) раздувают цифру по количеству, но денег приносят мало (не равно revenue). Поэтому аудиторию нужно делить по сумме депозита.. Сегментировать по deposit tier",Daily,Unique users с ≥1 депозитом за период,Unique depositing users,—,Product,40–55% of MAU,35–50% of MAU,25–40% of MAU,Drop >20% WoW,Drop >10% WoW,Payments,"DAU / WAU / MAU, Deposit Success Rate","ГЕО, платёжка, сегмент"
Retention,L1,Must,D1/D7/D30 Retention (Cohort),"Золотой стандарт удержания: какая доля когорты возвращается на день N. D1 показывает первое впечатление, D7, формирование привычки, D30, настоящую привязанность к продукту","1) D1: оптимизация первой сессии, опыт выигрыша, разнообразие игр, плавный UX
2) D7: CRM-цепочки на дни 2-7, бонус на повторное пополнение, рекомендации игр
3) D30: программа лояльности, VIP, персональный контент, кешбэк
4) Пуш-уведомления: матчи, новые игры, персональные предложения","1) Удержание от даты регистрации и от даты первого депозита, разные метрики. В iGaming корректнее считать от первого депозита
2) Ориентиры (от FTD): D1 30-40%, D7 15-25%, D30 8-15%. Сильно зависит от страны и источника трафика
3) Удержание по лучшему источнику (органика) и худшему (мотивированный трафик) отличается в 3-5 раз. Считать по каждому отдельно
4) D30 когортное удержание, не то же, что «месячное удержание» из снимка базы",Daily,Users active on day N / Cohort size. Когорта по дате FTD или регистрации,Active users on day N from cohort,Cohort size at day 0,Product,"D1: 35–45%, D7: 18–28%, D30: 10–18%","D1: 30–40%, D7: 15–25%, D30: 8–15%","D1: 25–35%, D7: 12–20%, D30: 6–12%",D7 <10%,D7 <15%,BI,,"ГЕО, канал, продукт, сегмент"
Retention,L1,Must,Churn Rate,"Доля ушедших игроков за период. Определяет средний срок жизни и устойчивость бизнеса. Высокий отток = бизнес как дырявое ведро, сколько ни лей, не наполнишь","1) Модель предсказания оттока: ML на поведенческих сигналах (падение частоты депозитов, сессий, разнообразия игр)
2) Превентивный CRM: вмешательство за 7-14 дней до предсказанного ухода
3) Возвратные программы для уже ушедших
4) Продуктовые улучшения на основе обратной связи от ушедших (опросы при уходе)","1) Определение оттока в iGaming спорно: 30 дней без ставки? 60? 90? Зафиксировать определение и не менять
2) Бетторы имеют сезонный отток: межсезонье может выглядеть как уход, но игрок вернётся к началу сезона
3) Добровольный уход (ушёл сам) и принудительный (самоисключение, бан): нужно считать отдельно",Monthly,"Users без активности >N дней / Active at start. N=30 казино, N=14 спорт. НЕ 100%−Retention",Churned users (no activity >N days),Active users at period start,Product / CRM,"New: 55–65%/mo, Active: 12–20%","New: 60–70%/mo, Active: 15–25%","New: 65–75%/mo, Active: 20–30%",>80% new cohort,>70% new cohort,BI,D1/D7/D30 Retention (Cohort),"ГЕО, продукт, сегмент"
Retention,L1,Must,Repeat Deposit Rate,"Доля игроков с более чем одним депозитом. Ключевой KPI удержания для iGaming, показывает «денежное удержание»: не просто вернулся, а вернулся с деньгами","1) CRM после первого депозита: триггер через 24-48 часов с бонусом на пополнение
2) Сохранённые методы оплаты и пополнение в 1 клик
3) Уведомление при низком балансе: «Ваш баланс ~$2, пополните для продолжения»
4) Кешбэк вместо матч-бонуса: возвращает часть проигрыша и мотивирует пополнить","1) Показатель сильно зависит от суммы первого депозита: микро-вносители (~$1-5) возвращаются в 15-20% случаев, нормальные (~$20+), в 40-50%
2) Повторный депозит за 7 дней, за 30 дней и за всё время, разные метрики. Уточнять период
3) Вынужденное пополнение (баланс быстро обнулился) и добровольное, разные причины",Monthly,Users с ≥2 депозитами / FTD users,Users with 2+ deposits,FTD users in cohort,Product / CRM,35–55%,30–45%,25–40%,<25%,<30%,BI,"Active Depositors, FTD Count","ГЕО, канал, платёжка"
Retention,L2,Should,Rolling Retention,"Кумулятивное удержание: игрок вернулся в день N или ПОЗЖЕ. Сглаживает всплески в когортных кривых, даёт более стабильную картину, чем точечное удержание","1) Те же рычаги, что у классического удержания, но метрика менее чувствительна к краткосрочным акциям
2) Полезна для долгосрочных когорт (90+ дней), где классическое удержание шумит
3) Сравнение когорт по скользящему удержанию надёжнее, чем по точечному","1) Скользящее удержание всегда ≥ классического. Нельзя сравнивать одно с другим
2) Может создавать иллюзию хорошего удержания: игрок зашёл один раз на 45-й день, и уже «удержан»
3) Для операционных решений (тайминг CRM) классическое удержание полезнее; скользящее, для стратегических",Weekly,Users active on day N OR later / Cohort size,Active on day N or later,Cohort size,Product,"M3: 25–35%, M6: 15–22%","M3: 20–30%, M6: 12–18%","M3: 15–25%, M6: 8–15%",M3 <15%,M3 <20%,BI,D1/D7/D30 Retention (Cohort),"ГЕО, канал, сегмент"
Retention,L2,Should,Reactivation Rate,"Доля возвращённых из ушедших. Показывает эффективность возвратных программ и «силу второго шанса», способность бренда вернуть потерянных игроков","1) Возвратные бонусы: агрессивное предложение для ценных ушедших (фриспины, кешбэк, бонус без условий отыгрыша)
2) Персонализация: «Мы добавили новые игры, которые вам понравятся»
3) Ретаргетинг: медийная и социальная реклама по ушедшей базе
4) Привязка к событиям: «Вернитесь к чемпионату мира»","1) Реактивированные игроки приносят на 30-50% меньше дохода, чем те, кто не уходил. Не переплачивать за возврат
2) Стоимость реактивации должна быть ниже ожидаемого дохода после возврата (LTV2)
3) Серийные «уходящие-возвращающиеся» разрушают юнит-экономику: отслеживать повторный отток",Monthly,"% ранее churned, вернувшихся в период",Reactivated users,Churned users pool,CRM,8–15%,5–12%,3–8%,<3%,<5%,BI,Churn Rate,"ГЕО, канал реактивации, сегмент"
Retention,L2,Should,Time to 2nd Deposit,"Скорость повторного депозита, ранний предсказатель LTV. Быстрый второй депозит = высокий LTV. Это один из самых сильных ранних сигналов качества игрока","1) CRM после первого депозита: предложение на пополнение через 24 часа (если ещё не пополнил)
2) Подсказка в приложении при балансе ниже минимальной ставки: «Пополните для продолжения»
3) Простой депозит: сохранённый метод, предложенная сумма, 1 клик
4) Персональный триггер: «Ваша любимая игра обновилась, попробуйте!»","1) Второй депозит менее чем через час от первого при общей сумме >~$100 может быть сигналом проблемного гемблинга
2) Оптимальное время до второго депозита: 1-3 дня. Быстрее = риск, медленнее = остывание интереса
3) Время коррелирует с D30 удержанием: <3 дней = удержание 25%+, >14 дней = удержание <10%",Monthly,Медиана времени между FTD и 2м депозитом,Median(date 2nd deposit − date FTD),—,Product,1–2 days,1–3 days,2–4 days,>7 days,>5 days,BI,FTD => RD (Repeat Deposit),"ГЕО, канал, сегмент"
Retention,L2,Should,Time to Churn,"Медианное время от последней активности до ухода. Определяет, когда запускать CRM-интервенцию, нужно успеть до того, как игрок «остыл»","1) Вмешиваться ДО медианного времени ухода: если медиана 14 дней, CRM начинается на 7-й день
2) Сегментировать: время ухода VIP ≠ время ухода казуала. Разные SLA для разных сегментов
3) Многоканальная эскалация: email → пуш → SMS → личный звонок (для VIP)","1) Время до ухода сильно различается по сегментам: казуалы 7-14 дней, регулярные 21-30, VIP 30-60
2) Бетторы имеют нерегулярные паттерны: отсутствие 2 недели между сезонами, не уход
3) Короткое время до ухода (<7 дней) обычно означает плохой первый опыт, а не проблему CRM",Monthly,Медиана дней от FTD до последней активности,Median(last activity date − FTD date),—,Product,14–21 days of inactivity,10–18 days,7–14 days,Shortening >30% QoQ,Shortening >15% QoQ,BI,Churn Rate,"ГЕО, сегмент"
Retention,L2,Should,Avg Lifetime (Days),"Средний срок жизни игрока от первого депозита до ухода. Множитель для LTV: ARPU × срок жизни = LTV. Чем длиннее живёт, тем больше приносит","1) Программы удержания для увеличения каждой точки на кривой удержания
2) VIP-программа для топ-сегмента (срок жизни VIP обычно в 3-5 раз выше массового)
3) Постоянное обновление контента: новые игры, провайдеры, акции
4) Баллы лояльности с растущей ценностью: чем дольше играешь, тем выгоднее","1) Распределение сильно скошено вправо: среднее 90 дней, медиана 21 день. Медиана точнее для планирования
2) Проблема цензурированных данных: если игрок зарегистрировался вчера, его срок жизни ещё не определён
3) Срок жизни без привязки к доходу бесполезен: игрок может жить 365 дней, но приносить ~$0 после 30-го дня",Monthly,Среднее количество дней от FTD до churn,Sum(churn_date − FTD_date),Churned users count,Product,90–180 days,60–120 days,30–90 days,Drop >20% QoQ,Drop >10% QoQ,BI,Churn Rate,"ГЕО, канал, сегмент"
Retention,L2,Should,Engaged Users %,"Доля активных, преодолевших порог вовлечённости (N сессий, N ставок за период). Отделяет качественную базу от «мёртвых душ», тех, кто числится, но не играет","1) Снижать порог входа: хороший онбординг, сопровождение первой сессии
2) Разнообразие контента: достаточно игр для разных вкусов
3) Персонализация: показывать релевантный контент для углубления вовлечённости
4) Геймификация: миссии и достижения мотивируют «исследовать» продукт","1) Порог «вовлечённого» определяется субъективно. Проверить: вовлечённые должны иметь D30 удержание в 2x+ выше невовлечённых
2) Низкий % вовлечённых при высоком DAU = много «зомби»: заходят, забирают бонус, уходят
3) Результат зависит от порога: 3 сессии в неделю и 5 ставок в неделю, дадут разные цифры",Monthly,% users с >X сессий или >Y депозитов за период,Users matching engagement criteria,Total active users,Product,30–45% of MAU,25–40% of MAU,20–35% of MAU,<15%,<20%,BI,"DAU / WAU / MAU, Session Frequency","продукт, сегмент"
Retention,L3,Nice,Avg Sessions per User,"Среднее количество сессий на игрока. Базовая метрика вовлечённости, которая коррелирует с LTV: больше сессий, больше ставок, больше доход","1) Ежедневные миссии и достижения
2) Лайв-события и турниры по расписанию
3) Пуш-уведомления о персональных предложениях
4) Мультипродуктовая вовлечённость: казино утром, спорт вечером, лайв-казино ночью","1) Среднее искажается «тяжёлыми» пользователями. Медиана обычно в 2-3 раза ниже среднего
2) Определение сессии (таймаут 30 минут, стандарт) должно быть единообразным
3) Больше сессий ≠ больше дохода: короткие заходы «за бонусом» не генерируют GGR",Weekly,Total sessions / Active users за период,Total sessions,Active users,Product,8–15/mo,6–12/mo,5–10/mo,<3/mo,<5/mo,Analytics,"Session Count, DAU / WAU / MAU","продукт, сегмент"
Retention,L3,Nice,Avg Time Between Sessions,"Интервал между визитами, индикатор силы привычки. Чем меньше и стабильнее интервал, тем крепче «петля привычки» у игрока","1) Контент по расписанию: ежедневные турниры, еженедельный кешбэк, ежемесячные ивенты
2) Ограниченные по времени предложения: «Бонус истекает через 24 часа»
3) Напоминания о спортивных событиях: пуш перед матчем
4) Социальные элементы: таблицы лидеров обновляются ежедневно","1) Стабильный интервал важнее короткого: ежедневные визиты лучше, чем всплеск и пауза
2) Сокращающийся интервал может быть сигналом проблемного гемблинга: мониторить вместе с длительностью сессий
3) В спортсбуке интервал по природе нерегулярный: ежедневно в сезон, раз в неделю между матчами",Weekly,Среднее/медиана времени между сессиями пользователя,Median(session_start[n+1] − session_end[n]),—,Product,1–3 days,2–4 days,2–5 days,>7 days,>5 days,Analytics,Session Count,"продукт, сегмент"
Retention,L3,Nice,Avg Play Days per User,"Дни с реальной игрой, точнее срока жизни для оценки вовлечённости. 90 дней жизни и 12 дней игры, это совсем другой продукт, чем 30 дней жизни и 25 дней игры","1) Ежедневные задания и миссии
2) Календарные события: «Играй каждый день на этой неделе, получи бонус»
3) Механика серий: «X дней подряд = Y бонус» (как в бесплатных мобильных играх)
4) Разный контент на разные дни: понедельник, слоты, пятница, спорт","1) Отношение дней игры к сроку жизни показывает интенсивность: >50% = хардкор, <10% = казуал
2) В спортсбуке дни игры привязаны к календарю событий: 2-3 дня в неделю, норма
3) Дни игры раздуваются фриспинами и фрибетами: один клик «получить», не настоящий день игры",Monthly,Уникальные дни с активностью на пользователя,Distinct active days per user,—,Product,8–14 days/mo,6–12 days/mo,5–10 days/mo,<3 days/mo,<5 days/mo,Analytics,PAU (Playing Active Users),"продукт, сегмент"
Advanced Retention,L1,Must,Segment Retention Gap,"Разница удержания между лучшим и худшим сегментом. Показывает потенциал роста: если подтянуть слабых до уровня сильных, общее удержание вырастет","1) Найти самые слабые сегменты: по источнику, стране, устройству, первой игре
2) Разобраться в причинах: почему у органики D7=25%, а у платного D7=10%? Разный интент, разный онбординг
3) Делать отдельные CRM-цепочки для слабых сегментов
4) Продуктовые исправления для отстающих: если мобильное удержание ниже, чинить мобильный UX","1) Разрыв 0% невозможен и не нужен: сегменты всегда различаются. Цель: сократить разрыв на 20-30%
2) Сегментация должна быть действенной: разрыв по «знаку зодиака» бесполезен, по источнику трафика, полезен
3) Нельзя сокращать разрыв за счёт ухудшения лучшего сегмента (перераспределение ресурсов от сильных к слабым)",Monthly,Разница D30 retention между лучшим и худшим сегментом. Показывает неравномерность продукта,Max(D30 ret by segment) − Min(D30 ret by segment),—,Product,<15pp between segments,<20pp between segments,<25pp between segments,>30pp,>20pp,BI,D1/D7/D30 Retention (Cohort),Тип сегментации
Advanced Retention,L2,Should,Cohort Retention Curve Area,"Площадь под кривой удержания когорты. Одно число, которое суммирует качество удержания за весь жизненный цикл, удобно для сравнения когорт между собой","1) Улучшать раннее удержание (D1-D7) через оптимизацию первой сессии и онбординга
2) Снижать отток в середине цикла (D14-D60) через программы лояльности и CRM
3) Увеличивать «хвостовое» удержание (D60+) через VIP и персональный контент
4) A/B-тестировать механики удержания: кешбэк vs бонус vs фриспины, что больше влияет на площадь кривой","1) Площадь зависит от выбранного окна: 30 дней, 90 дней и 365 дней, несравнимые числа. Зафиксировать окно
2) Когорта с аномальным всплеском (акция на D14) может дать высокую площадь, но плохой «хвост»
3) Площадь не показывает ГДЕ теряются игроки, только итоговый результат. Для диагностики нужна сама кривая",Monthly,Площадь под кривой retention когорты (AUC). Единое число для сравнения когорт,∑(Dn retention × 1 day) for D1−D90,—,Analytics,D30 area >35% of theoretical max,D30 area >30% of theoretical max,D30 area >25% of theoretical max,Area <50% of baseline,Area <70% of baseline,BI,D1/D7/D30 Retention (Cohort),"ГЕО, канал"
Advanced Retention,L2,Should,Resurrection Rate,"Доля игроков, вернувшихся после долгого отсутствия (60-90+ дней). Показывает силу бренда и способность «воскрешать» потерянных: если игрок вспомнил и вернулся через 3 месяца, бренд что-то значит","1) Возвратный CRM: email/SMS/пуш для «спящих» 60-90 дней с агрессивным предложением
2) Ретаргетинг: реклама по ушедшей базе в соцсетях и на площадках
3) Сезонные триггеры: «Вернитесь к Евро/ЧМ/праздникам»
4) Сильный бренд увеличивает естественное «воскрешение» без CRM","1) «Воскрешение» не равно удержание: вернувшийся игрок с вероятностью 40-60% снова уйдёт в течение 30 дней
2) Показатель зависит от определения окна ухода: 60, 90 или 180 дней, дадут разные цифры
3) Высокий показатель «воскрешения» может маскировать плохое первичное удержание: игроки уходят и возвращаются циклично",Monthly,% churned (>90 дней) вернувшихся органически (без CRM push),Organically reactivated users,Churned users (>90d),Product,3–6%,2–5%,1–3%,<1%,<2%,BI,"Churn Rate, Reactivation Rate","ГЕО, сегмент"
Advanced Retention,L2,Should,Activation-to-Retention Lift,"Разница в удержании между полностью активированными (первый депозит + реальная игра + N-я сессия) и частично активированными. Подтверждает, правильно ли вы определили «моменты ага»","1) Определить вехи активации, которые коррелируют с лучшим удержанием: первый депозит, 3 сессии, 5 ставок, 2-й депозит
2) Оптимизировать онбординг, чтобы игрок проходил эти вехи быстрее
3) CRM-подталкивание для «почти активированных»: «Осталось 1 шаг до бонуса»
4) Убирать трение на пути к активации: каждый лишний шаг снижает конверсию","1) Корреляция не равно причинность: активированные могут быть по природе более вовлечёнными, не потому что «активировались»
2) Если разница меньше 1.5x, критерии активации слишком мягкие или неправильные. Пересмотреть
3) Разница различается по когортам: валидировать на каждой новой когорте, не только на исторических данных",Monthly,На сколько % выше D30 retention у полностью activated (FTD + first bet + 2nd session) vs не activated,D30 ret(activated) − D30 ret(not activated),—,Product,>15pp,>10pp,>8pp,<5pp (activation not working),<10pp,BI,"Activation Rate (unified), D1/D7/D30 Retention (Cohort)",ГЕО
Casino / Games,L1,Must,Session Frequency,"Количество сессий на игрока за период. Показывает, сформировалась ли привычка, заходит ли человек регулярно или от случая к случаю","1) Ежедневные награды с растущей ценностью: день 1 = ~$0.5, день 7 = ~$5, мотивация не пропускать
2) Турниры и ивенты по расписанию: «каждый вторник в 20:00, турнир»
3) Пуш-уведомления с персональными триггерами: новая игра любимого провайдера, крупный джекпот
4) Механика серий: «не пропусти 7 дней подряд, получи бонус»","1) Частота сессий сильно зависит от продукта: казино 5-7 раз в неделю для вовлечённых, спорт 2-3 раза (привязан к событиям). Нельзя мерить одной линейкой
2) Слишком высокая частота (3+ сессии в день каждый день): флаг ответственной игры. Мониторить обязательно
3) Частота без качества (длительность сессии, количество ставок) может обманывать: паттерн «зашёл, забрал бонус, вышел» раздувает метрику",Daily,"Среднее кол-во сессий на игрока в день. Показывает регулярность: чем выше частота, тем больше ставок",Sessions per day,PAU,Product,"3–5 casino, 2–3 sports","2–4 casino, 1–2 sports","2–3 casino, 1–2 sports",<1,<1.5,Analytics,"Session Count, PAU (Playing Active Users)","device, ГЕО, сегмент"
Casino / Games,L2,Should,Rounds / Spins / Hands,"Количество игровых раундов, базовый объёмный показатель для казино. Определяет глубину вовлечённости и является основой для расчёта GGR (валового игрового дохода) казино","1) Автоспин и турбо-режим: увеличивают количество раундов за сессию на 30-50%
2) Быстрые анимации: сокращение длительности раунда с 3 до 1.5 секунд
3) Турниры с лидербордом по количеству раундов
4) Расширение каталога: новые игры и провайдеры дают поводы играть больше","1) Раунды на бонусные деньги и на реальные нужно разделять: бонусные раунды раздувают метрику, но не влияют на GGR
2) Рост раундов при падении средней ставки = игроки снижают риск, и доход может не расти
3) Больше 500 раундов за сессию может быть сигналом проблемного гемблинга, мониторить в связке с длительностью сессии",Daily,Общее количество раундов,Count of rounds,—,Product,50–200 rounds/session,40–180 rounds/session,30–150 rounds/session,Drop >25% WoW,Drop >15% WoW,Game Aggregator,Session Count,"Провайдер, игра, категория"
Casino / Games,L2,Should,Session Count,"Количество игровых сессий за период, базовая метрика вовлечённости. Напрямую коррелирует с удержанием и LTV (пожизненной ценностью игрока)","1) Ежедневные награды за вход и миссии
2) Пуш-уведомления о новых играх и акциях
3) Лайв-казино события по расписанию
4) Турниры с окнами входа в разное время дня, чтобы игрок возвращался не один раз","1) Определение сессии (таймаут неактивности 30 минут, стандарт) должно быть единообразным, иначе сравнения бессмысленны
2) Количество сессий без качества (длительность, ставки, доход) может обманывать, много заходов по 30 секунд ничего не значат
3) Бот-подобные паттерны: 100+ сессий в день с одинаковой длительностью = сигнал фрода",Daily,Количество игровых сессий,Count of sessions,—,Product,3–6/week,2–5/week,2–4/week,Drop >25% WoW,Drop >15% WoW,Analytics,PAU (Playing Active Users),"Провайдер, категория"
Casino / Games,L2,Should,RTP (Theoretical vs Actual),RTP (Return to Player): процент возврата игроку: теоретический (заложен в математику игры) и фактический (реальные выплаты). Разрыв между ними показывает отклонения и потенциальные проблемы,"1) Мониторинг фактического RTP по каждому провайдеру: отклонение больше 2 процентных пунктов на 10K+ раундах = алерт
2) Оптимизация микса игр: баланс между играми с высоким RTP (дружелюбные к игроку) и низким (выгодные оператору)
3) Публикация RTP на сайте (обязательно в ЕС), для соответствия требованиям и доверия
4) Настройка вклада игр в отыгрыш бонусов: игры с высоким RTP = меньший вклад","1) Фактический RTP сходится к теоретическому только на больших выборках (100K+ раундов). На малых, чистый шум, не делать выводов
2) RTP 96% не значит «игрок получает 96% обратно за сессию», это долгосрочное математическое ожидание на огромном количестве раундов
3) Некоторые провайдеры позволяют оператору менять RTP (настраиваемый RTP): мониторить, что выставлен правильный уровень",Weekly,Theoretical: из спецификации. Actual: Payouts / Wagers × 100%,Payouts,Wagers,Product,"94–97% (slots), deviation <1pp","94–97% (slots), deviation <1pp","94–97% (slots), deviation <1pp",Actual >Theoretical +2pp,Actual >Theoretical +1pp,Game Aggregator,Total Wager (Casino),"Провайдер, игра"
Casino / Games,L2,Should,Top Games Share,"Доля GGR и раундов от топ-10/20 игр. Показывает концентрацию и здоровье каталога, насколько бизнес зависит от нескольких хитов","1) Продвижение игр из «середины»: выделенные секции, турниры по конкретным играм
2) Персонализация: разные топ-игры для разных сегментов, а не одна витрина для всех
3) Эксклюзивные игры от провайдеров для отстройки от конкурентов
4) A/B-тест размещения в лобби: ротация позиций, чтобы не «закапывать» хорошие игры","1) Топ-10 игр = 40-60% раундов, это норма для казино. Больше 70% = каталог недоиспользуется
2) Высокая концентрация = риск: если убрать топ-игру (проблемы с провайдером), доход просядет ощутимо
3) Топ-игры различаются по ГЕО: Book of Dead популярен в Европе, Gates of Olympus, в LatAm и СНГ",Weekly,% GGR от топ-10 игр,GGR top 10 games,Total GGR,Product,Top-10 <50% of total wager,Top-10 <55%,Top-10 <60%,>60%,>50%,BI,Total Wager (Casino),"ГЕО, Провайдер, тип игры"
Casino / Games,L2,Should,Deposit Turnover,"Во сколько раз депозит прокручивается в ставках до полного проигрыша или вывода. Показывает эффективность вовлечения и качество игрового опыта, сколько «игры» получает игрок за свои деньги","1) Оптимизация микса игр: высокий RTP увеличивает оборачиваемость (деньги дольше «живут» на балансе)
2) Кешбэк-программы: возврат части проигрыша продлевает игру
3) Требования по вейджеру бонусов (wagering x30-x40) увеличивают оборачиваемость
4) Игры с низкой волатильностью увеличивают оборачиваемость по сравнению с высоковолатильными","1) Высокая оборачиваемость не равно высокий GGR: при RTP 97% и оборачиваемости x50 GGR = 3% x 50 x депозит. Считать в связке
2) Бонусные деньги кратно увеличивают оборачиваемость, считать реальные деньги отдельно
3) Оборачиваемость зависит от типа игры: слоты x20-50, блэкджек x10-20, рулетка x15-30",Weekly,Bets Real / Deposits Sum,Real money bets,Deposits sum,Product,"Slots 15–25x, Live 5–8x, Sports 2–5x","Slots 15–25x, Live 5–8x, Sports 2–5x","Slots 12–20x, Live 4–7x, Sports 2–4x",<3 (possible withdrawal without play),>30 (possible abuse),BI,"Total Wager (Casino), Avg Deposit Size","ГЕО, продукт, сегмент"
Casino / Games,L2,Should,Game Engagement Rate,"Доля игроков, запустивших конкретную игру, среди всех активных пользователей казино. Показывает привлекательность игры в каталоге, заинтересовала или прошли мимо","1) A/B-тест обложек и описаний: иногда смена картинки увеличивает запуски в разы
2) Превью в лобби: анимации, информация об RTP, максимальный выигрыш
3) Социальное доказательство: «X игроков играют сейчас», «выиграно ~$Y за час»
4) Персональные рекомендации: предлагать игру сегментам, которые с высокой вероятностью её запустят","1) Высокий показатель запусков при низком удержании в игре = игра привлекает, но не удерживает. Проблема в самом геймплее
2) Показатель сильно зависит от позиции в лобби: игра на 1-й позиции получает в 10 раз больше запусков, чем на 50-й
3) Для новых и вернувшихся игроков метрика отличается: новичкам нужна навигация, а «старички» идут сразу в избранное",Daily,Уникальные игры на активного игрока в месяц. Показывает глубину вовлечённости: больше разных игр = дольше жизненный цикл,Unique Games Played,PAU,Product,8–18 unique games/mo,5–15 unique games/mo,4–12 unique games/mo,<3,<5,Analytics,PAU (Playing Active Users),"ГЕО, продукт"
Casino / Games,L2,Should,Velocity of Spend,"Скорость траты депозита, как быстро игрок проигрывает свои деньги. Показывает уровень риска и качество игрового опыта: слишком быстро = плохой опыт и уход","1) Баланс микса игр: высоковолатильные = быстрая трата, низковолатильные = медленная
2) Подсказки по размеру ставки: не давать ставить больше 5% баланса по умолчанию
3) Инструменты ответственной игры: лимиты потерь, лимиты времени сессии
4) Кешбэк и рибейт-программы замедляют скорость траты","1) Высокая скорость (депозит потрачен менее чем за 10 минут) = плохой игровой опыт и риск проблемного гемблинга
2) Скорость зависит от типа игры: высоковолатильные слоты = быстро, блэкджек = медленно. Нормализовать по типу
3) Слишком низкая скорость (депозит живёт больше 30 сессий) может означать, что игрок толком не вовлечён",Weekly,"Скорость слива депозита: время от депозита до исчерпания баланса. Быстрый слив = выше краткосрочный GGR, но ниже retention",Median(balance_zero_time − deposit_time),—,Product / Risk,Monitor: <30 min = RG risk,Monitor: <30 min = RG risk,Monitor: <30 min = RG risk,<30 min (RG risk),<1 hour,BI,"Total Wager (Casino), Session Count","VIP tier, game type, сегмент"
Casino / Games,L2,Should,Personalization Lift (Game Recs),"Прирост ключевых метрик (кликабельность, запуски игр, GGR) от персональных рекомендаций по сравнению с обычными. Показывает, окупаются ли вложения в ML-модели рекомендаций","1) Коллаборативная фильтрация: «похожие игроки также играли в X»
2) Рекомендации по характеристикам игры: тема, волатильность, провайдер
3) Контекстные факторы: время суток, устройство, недавняя активность
4) Постоянный A/B-тест: персональные vs популярные vs случайные vs редакторские подборки","1) Прирост менее 5% = модель не работает или данных недостаточно. Минимальный ощутимый прирост: 10%+
2) Персонализация может создавать «пузыри»: игрок никогда не увидит новые жанры. Обязательно добавлять компонент исследования
3) Проблема холодного старта: у новых игроков нет истории. Использовать дефолты на основе ГЕО, устройства, источника трафика",Monthly,Прирост CTR/GGR от персонализированного лобби vs дефолтного. Обосновывает инвестиции в рек-систему,Metric(personalized) − Metric(control),Metric(control),Product,>12% CTR lift,>10% CTR lift,>8% CTR lift,<0% (negative),<5%,Experimentation,Game Engagement Rate,"game category, сегмент"
